Gene,BA11.R2,BA11.Peak,BA11.Pval,BA11.qval,BA47.R2,BA47.Peak,BA47.Pval,BA47.qval,Diff.Peak,Avg.R2,Combined.Pval,Combined.qval,BA11.weight,BA47.weight,Both.weight,Age.genes,Sex.genes
C1orf51,0.51,2.45,2.47E-08,5.56E-05,0.50,2.63,2.47E-08,7.14E-05,0.18,0.51,4.90E-09,5.88E-06,1,1,2,0,0
NR1D1,0.53,1.38,2.47E-08,5.56E-05,0.41,1.79,2.47E-08,7.14E-05,0.41,0.47,4.90E-09,5.88E-06,1,1,2,0,0
PER3,0.41,4.72,2.47E-08,5.56E-05,0.36,5.01,2.47E-08,7.14E-05,0.29,0.38,4.90E-09,5.88E-06,1,1,2,0,0
PER2,0.29,8.06,2.47E-08,5.56E-05,0.24,8.14,2.47E-08,7.14E-05,0.08,0.27,4.90E-09,5.88E-06,1,1,2,0,0
KCNH4,0.24,2.21,2.47E-08,5.56E-05,0.27,2.11,2.47E-08,7.14E-05,0.09,0.25,4.90E-09,5.88E-06,1,1,2,0,0
NR1D2,0.24,3.11,2.47E-08,5.56E-05,0.21,2.64,2.47E-08,7.14E-05,0.46,0.23,4.90E-09,5.88E-06,1,1,2,0,0
PER1,0.29,3.07,2.47E-08,5.56E-05,0.21,4.91,9.88E-08,2.50E-04,1.84,0.25,4.90E-09,5.88E-06,1,1,2,0,0
ARNTL,0.16,-6.00,3.76E-06,4.05E-03,0.23,-6.28,2.47E-08,7.14E-05,0.28,0.20,4.90E-09,5.88E-06,1,1,2,1,0
OPRL1,0.18,3.17,5.44E-07,9.17E-04,0.18,3.73,3.46E-07,7.00E-04,0.56,0.18,4.90E-09,5.88E-06,1,1,2,0,0
BHLHE41,0.18,3.01,5.44E-07,9.17E-04,0.18,3.29,4.45E-07,8.18E-04,0.27,0.18,4.90E-09,5.88E-06,1,1,2,1,0
DBP,0.17,5.04,1.63E-06,2.36E-03,0.18,5.06,2.96E-07,6.67E-04,0.02,0.18,4.90E-09,5.88E-06,1,1,2,0,0
DUSP11,0.21,0.81,4.94E-08,1.00E-04,0.14,-0.40,1.61E-05,1.81E-02,1.20,0.18,4.90E-09,5.88E-06,1,1,2,0,0
PIAS1,0.24,1.13,2.47E-08,5.56E-05,0.12,1.31,1.32E-04,6.52E-02,0.18,0.18,4.90E-09,5.88E-06,1,1,2,0,0
