,full_df_name,model,best_parameters,MSE,MAE,MAPE,RMSE,SMAPE
1,BA47 Overall_80:20_MinMax_PCA_90,Linear Regressor,{},0.01483710365504294,0.1030188779544438,0.1528091929791777,0.1218076502320069,16.53505179455059
2,BA47 Overall_80:20_MinMax_PCA_95,Linear Regressor,{},0.02041147161640268,0.111319364739438,0.1540402751481426,0.1428687216167439,16.64783861728121
3,BA47 Overall_80:20_MinMax_PCA_90,Support Vector Regressor,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 1}",0.01599427361567254,0.0929867093000374,0.1280219416309942,0.1264684688595246,13.61618294686298
4,BA47 Overall_80:20_MinMax_PCA_95,Support Vector Regressor,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 1}",0.01603537583238452,0.09309834369463654,0.128133389978828,0.1266308644540679,13.63185776331728
5,BA47 Overall_80:20_MinMax_PCA_90,Decision Tree Regressor,"{'splitter': 'best', 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 90, 'max_features': None, 'max_depth': 26, 'criterion': 'mae', 'ccp_alpha': 0.0}",0.02649347040099785,0.1312703972484525,0.1926267435882985,0.1627681492215165,19.79235383561453
6,BA47 Overall_80:20_MinMax_PCA_95,Decision Tree Regressor,"{'splitter': 'best', 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 90, 'max_features': None, 'max_depth': 26, 'criterion': 'mae', 'ccp_alpha': 0.0}",0.02649347040099785,0.1312703972484525,0.1926267435882985,0.1627681492215165,19.79235383561453
7,BA47 Overall_80:20_MinMax_PCA_90,K-Neighbors Regressor,"{'weights': 'distance', 'n_neighbors': 2}",0.01831165202836891,0.07845666528330121,0.1104108832510205,0.1353205528675112,12.57847449905577
8,BA47 Overall_80:20_MinMax_PCA_95,K-Neighbors Regressor,"{'weights': 'distance', 'n_neighbors': 2}",0.03394585040222127,0.1005915115815947,0.1321444354521974,0.1842439969231597,16.08760781633078
9,BA47 Overall_80:20_MinMax_PCA_90,Stochastic Gradient Descent Regressor,"{'tol': 0.0001, 'power_t': 0.25, 'penalty': 'elasticnet', 'max_iter': 3000, 'loss': 'squared_loss', 'learning_rate': 'optimal', 'l1_ratio': 0, 'fit_intercept': True, 'eta0': 0.001, 'alpha': 1}",0.02136995636942782,0.1144222853642704,0.1548747564476435,0.1461846653018976,17.06457317598651
10,BA47 Overall_80:20_MinMax_PCA_95,Stochastic Gradient Descent Regressor,"{'tol': 0.0001, 'power_t': 0.25, 'penalty': 'elasticnet', 'max_iter': 3000, 'loss': 'squared_loss', 'learning_rate': 'optimal', 'l1_ratio': 0, 'fit_intercept': True, 'eta0': 0.001, 'alpha': 1}",0.02142517544225798,0.1143982079300403,0.1547640987788937,0.1463734109811546,17.05469603254992
11,BA47 Overall_80:20_MinMax_PCA_90,Voting Regressor,"{'rf__n_estimators': 10, 'gb__n_estimators': 100}",0.02451404620680125,0.1154973116965075,0.1580388775636768,0.1565696209575831,17.98396033834982
12,BA47 Overall_80:20_MinMax_PCA_95,Voting Regressor,"{'rf__n_estimators': 10, 'gb__n_estimators': 100}",0.02746799162422446,0.1187677125003545,0.1592733481570529,0.1657347025345762,18.27810350753672
13,BA47 Overall_80:20_MinMax_PCA_90,Stacking Regressor,{'final_estimator': RandomForestRegressor(random_state=42)},0.105426133173411,0.2769725036534512,0.4008714157365734,0.3246939068929551,48.72122792409887
14,BA47 Overall_80:20_MinMax_PCA_95,Stacking Regressor,{'final_estimator': GradientBoostingRegressor(random_state=42)},0.1055501380947922,0.2763992565967201,0.4082079275478891,0.3248848074237886,51.90729497948286
15,BA47 Overall_80:20_MinMax_PCA_90,Gradient Boosting Regressor,"{'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 5, 'min_impurity_decrease': 1, 'max_leaf_nodes': 20, 'max_features': 'log2', 'max_depth': 10, 'learning_rate': 0.1}",0.02636484312125423,0.1310671879721916,0.1926991501699218,0.1623725442347143,19.76044914573724
16,BA47 Overall_80:20_MinMax_PCA_95,Gradient Boosting Regressor,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 30, 'learning_rate': 0.5}",0.02017402584604362,0.09865070463887983,0.132003566194216,0.1420352978876857,14.36845757668958
17,BA47 Overall_80:20_MinMax_PCA_90,Random Forest Regressor,"{'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None}",0.03483072212216624,0.1447006074417956,0.1984262227864968,0.186629906826763,23.13996075060749
18,BA47 Overall_80:20_MinMax_PCA_95,Random Forest Regressor,"{'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None}",0.03132400086512336,0.140093531495234,0.191296627868038,0.1769858775866689,22.08578854056701
19,BA47 Overall_80:20_MinMax_PCA_90,BaggingRegressor,"{'n_estimators': 150, 'max_samples': 0.1, 'max_features': 1.0}",0.01579926684058097,0.1015734046068489,0.1430770008505054,0.1256951345143517,15.38813010610281
20,BA47 Overall_80:20_MinMax_PCA_95,BaggingRegressor,"{'n_estimators': 150, 'max_samples': 0.1, 'max_features': 1.0}",0.01595664301259302,0.1032884228547918,0.1464787850684507,0.1263196066040146,15.58368326425629
21,BA47 Overall_80:20_MinMax_PCA_90,ExtraTreesRegressor,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None}",0.01570857572506146,0.09865943230129184,0.1352258437547858,0.1253338570581049,14.96427394170792
22,BA47 Overall_80:20_MinMax_PCA_95,ExtraTreesRegressor,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None}",0.01493441655997659,0.09603952012308624,0.1318583512682762,0.1222064505661489,14.55526479509731
23,BA47 Overall_80:20_MinMax_PCA_90,XGBoost Regressor,"{'subsample': 0.9, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'n_estimators': 600, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.03126245932370636,0.13509852686951,0.1788817750900413,0.1768119320739026,20.35944024534864
24,BA47 Overall_80:20_MinMax_PCA_95,XGBoost Regressor,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.03033949297471495,0.1342782941670291,0.1777087294190101,0.1741823555206294,20.26308082008408
25,BA47 Overall_80:20_MinMax_PCA_90,Multilayer Perceptron,"{'module__num_units': 10, 'module__activation_func': ReLU(), 'lr': 0.1}",0.02423553168773651,0.1315662711858749,0.2147349268198013,0.1556776531417933,19.88598704338074
